1;Pereira, Yvonne A.;FEB;Ressureição e vida;Romance;3
2;Flammarion, Camille;Fed Esp brasileira;Estela;Romance;1
3;Franco, Divaldo Pereira;Liv. Esp. Alvorada;Nas fronteira da loucura;Romance;2
4;Xavier, Francisco C.;FEB;Ave Cristo;Romance;2
5;Pereira, Yvonne A.;FEB;Memórias de um suícida;Romance;2
6;Pires, J. Herculano;Edicel;Lázaro;Romance;1
7;Rochester, J. W. ;FEB;Herculanum;Romance;1
8;Carvalho, Vera Lúcia Marinzeck;Petit;Filho adotivo;Romance;2
9;Vieira, Waldo;C.E. Cristã;Cristo espera por ti;Romance;2
10;Franco, Divaldo Pereira;Fed Esp brasileira;Párias em redenção;Romance;1
11;Lanza, Celestina A. ;FEB;O beijo da morta;Romance;1
12;Gama, Zilda;Cult Espirita;Seara bendita;Romance;3
13;Franco, Divaldo Pereira;Liv. Esp. Alvorada;Grilhões Partidos;Romance;3
14;Ó, Fernando do;FEB;Apenas uma sombra de mulher;Romance;3
15;Pereira, Yvonne A.;FEB;O cavaleiro de Numiers;Romance;2
16;Oliveira, Armando F.;Dolar;Jornadas da redenção;Romance;1
17;Xavier, Francisco C.;FEB;Lázaro Redivivo;Romance;3
18;Franco, Divaldo Pereira;Liv. Esp. Alvorada;Quando voltar a primavera;Evangelico;1
19;Franco, Divaldo Pereira;Fed Esp brasileira;Nos batidores da obsessão;Romance;5
20;Carvalho, Vera Lúcia Marinzeck;Petit;Vivendo no mundo dos Espíritos;Romance;5
21;Franco, Divaldo Pereira;Liv. Esp. Alvorada;Painéis da obsessão;Romance;3
22;Sardou, Vitorien;O Clarim;Amargo despertar;Romance;3
23;Raniere, R. A.;Eco;O sexo além da morte;Romance;2
24;Gasparetto, Zibia;Espaço;Laços Eternos;Romance;7
25;Surinach, José;FEB;Memórias de uma alma;Romance;1
26;Lanza, Celestina A. ;FEB;O espírito das trevas;Romance;1
27;Frungilo, Wilson Junior;Inst. Dif. Esp;Do outro lado;Romance;3
28;Barclay, Florence L.;Clarim;Voltou mas esqueceu;Romance;3
29;Poletto, Juarez ;HDC;Anjo fatal;Romance;1
30;Rochester, J. W. ;FEB;Sinal da vitória;Romance;1
31;Pereira, Yvonne A.;FEB;Nas voragens do pecado;Romance;2
32;Bourdim, Antoinette;Fed Esp brasileira;Memórias da loucura;Romance;2
33;Hesse, Hermann;Record;Demiam;Romance;1
34;Gama, Zilda;Fed Esp Bras;Almas crucificadas;Romance;1
35;Flammarion, Camille;Fed Esp brasileira;Urânia;Cientifico;3
36;Curti, Rino;Fed Esp brasileira;O divulgador espírita - Vol 2 e 3;Cientifico;1
37;Gibier, Paul;Fed Esp Bras;O espiritismo;Científico;1
38;Bozzano, Ernesto;Fed Esp brasileira;Fenômenos psíquicos;Cientifico;1
39;Kardec, Allan;Ed. Diversas;O evagelho segundo o espiritismo;Doutrinário;7
40;Kardec, Allan;Ed. Diversas;A Gênese;Doutrinário;3
41;Kardec, Allan;Ed. Diversas;Livro dos médiuns;Doutrinário;5
42;Kardec, Allan;Ed. Diversas;Livro dos espirítos;Doutrinário;5
43;Kardec, Allan;Ed. Diversas;Obras Póstuma;Doutrinário;3
44;Kardec, Allan;C. do Bem;O que é o espiritismo;Doutrinário;3
45;Kardec, Allan;C. do Bem;Doutrina espiríta;Doutrinário;2
